sequence,arm,started_at_ms,t_request_ms,t_ready_ms,session_age_ms,error
276,B,48322.5,0.589,100.066,100.066,
277,B,48458.2,100.603,100.063,100.064,
278,C,48690.8,100.552,90.610,90.610,
279,B,48917.7,0.635,100.065,100.066,
280,C,49051.7,0.412,92.635,92.635,
281,C,49179.4,0.439,93.244,93.244,
282,C,49307.6,0.331,103.917,103.918,
283,A,49448.2,147.835,0.000,0.000,
284,A,49629.2,156.450,0.000,0.000,
285,A,49823.3,158.073,0.000,0.000,
286,C,50014.8,0.306,99.091,99.091,
287,C,50145.4,0.329,98.382,98.382,
288,C,50280.3,0.390,95.235,95.235,
289,A,50407.3,143.500,0.000,0.000,
290,A,50582.1,150.578,0.000,0.000,
291,B,50763.9,0.593,100.061,100.062,
292,B,50895.5,100.967,100.073,100.073,
293,C,51131.1,0.390,94.328,94.329,
294,B,51259.5,0.667,100.069,100.070,
295,A,51392.2,153.933,0.000,0.000,
296,A,51580.9,1855.444,0.000,0.000,
297,B,53467.9,100.766,100.060,100.060,
298,C,53701.6,0.354,99.159,99.159,
299,C,53834.3,100.566,92.386,92.386,
